trajectory,t,tau_residual_target,tau_residual_pred,theta_real,theta_sim,omega_real,omega_sim,alpha_real,alpha_sim,motor_input_a,tau_motor_sim,tau_visc_sim,tau_coul_sim,tau_residual_sim,tau_res_sim,tau_net_sim
chrono_run_1.finalized,0.7593142986297609,0.32806958144754295,0.293279975464731,1.571304003854856,-1.0866938921278495,-0.0029807162775441,1.336762643844349,4.3918285917154964e-06,-9114.106534407605,0.0,0.0,0.0372232020722594,0.00044179169191864464,-0.2137526281554769,-0.17608763439129888,0.17608763439129888
chrono_run_1.finalized,0.7727077007293702,0.32807087343461505,0.29328459716648986,1.5713051909914406,-1.062146338011274,-0.0028347142141264,1.83280946349632,-0.00041184487661294344,-12735.701148548971,0.0,0.0,0.051036014010290266,0.00044179169191864464,-0.1942717129856485,-0.14279390728343958,0.14279390728343958
chrono_run_1.finalized,0.7863259315490724,0.32807053268689046,0.2932823263777624,1.57130529234814,-1.030782011473299,-0.0029067401241993,2.303113154213726,-0.000161971795276189,4762.1071049645525,0.0,0.0,0.06413198837456327,0.00044179169191864464,-0.1743806304748255,-0.10980685040834358,0.10980685040834358
chrono_run_1.finalized,0.799468755722046,0.32806595647044007,0.2932794529436359,1.5713051332723744,-0.994987537338549,-0.0029977593041383,2.7234994293202357,-0.00046840492360962493,-110544.14530723426,0.0,0.0,0.07583797323189902,0.00044179169191864464,-0.15514721269391768,-0.07886744777010002,0.07886744777010002
chrono_run_1.finalized,0.8130943775177003,0.32805610784311817,0.29327709673355884,1.5713050028302469,-0.9524800728523023,-0.0030723950316883,3.1196715367370547,-0.0016346122646966194,1805.2130238122495,0.0,0.0,0.0868696956380244,0.00044179169191864464,-0.13530661728078458,-0.04799512995084154,0.04799512995084154
chrono_run_1.finalized,0.8256790637969972,0.32804775462753655,0.2932751646452673,1.5713048958677018,-0.9090579912729091,-0.0031335963282793,3.4503904678837216,-0.0026325267855807355,3151.1626991562152,0.0,0.0,0.09607882312216094,0.00044179169191864464,-0.11708918482803919,-0.020568570013959606,0.020568570013959606
chrono_run_1.finalized,0.8390972614288331,0.328057690724031,0.2932816567795373,1.571305650123591,-0.8585824454245232,-0.0029281179220501,3.7617232383452204,-0.0019999949944750905,1176.4245720212457,0.0,0.0,0.10474812778890184,0.00044179169191864464,-0.09789180792026904,0.0072981115605514485,-0.0072981115605514485
chrono_run_1.finalized,0.8527131080627443,0.3280575323349998,0.2932804067745553,1.5713047302631793,-0.8036850803548888,-0.0029673521978571,4.031873048048961,-0.001859821503718273,-6961.408467136658,0.0,0.0,0.11227066068035482,0.00044179169191864464,-0.07879272959944351,0.03391972277282995,-0.03391972277282995
chrono_run_1.finalized,0.8662073612213136,0.3280492089375972,0.2932763437460967,1.571302961155648,-0.746262326023608,-0.003095398063147,4.255348825645472,-0.0025739449423858446,-2503.6368271625606,0.0,0.0,0.11849351861705432,0.00044179169191864464,-0.06027327729453298,0.05866203301443998,-0.05866203301443998
chrono_run_1.finalized,0.8802232742309571,0.32804849584290424,0.2932735000482529,1.5713003082942274,-0.6840421505510541,-0.0031844167477546,4.4392524004496705,-0.0023090075137791877,531.0682678378041,0.0,0.0,0.12361445759471822,0.00044179169191864464,-0.04161466953475358,0.08244157975188328,-0.08244157975188328
