trajectory,t,tau_residual_target,tau_residual_pred,theta,omega,motor_input_a
chrono_run_2.finalized,14.254851341247559,0.011575326933454727,0.010293967384915025,0.0186692442216572,-0.00313425669336,1.64361049123304e-08
chrono_run_2.finalized,14.268137693405153,0.011758155199056795,0.010295028876219327,0.0187077522595709,-0.0033760704091064,1.3477606028110928e-08
chrono_run_2.finalized,14.280539274215698,0.011665891802723531,0.010288631202219605,0.0187390982772487,-0.0032068415025264,1.1051636943050961e-08
chrono_run_2.finalized,14.293650150299072,0.011701641907948672,0.010283171031367885,0.0187637427570132,-0.0030520948322912,9.06234229330179e-09
chrono_run_2.finalized,14.307204246520996,0.011730916229088423,0.01027869379679658,0.01878395123042,-0.0029252025626983,7.431120680507468e-09
chrono_run_2.finalized,14.320915460586548,0.011672935296710185,0.010262436258238547,0.0189499336758792,-0.0029170247026698,6.093518958016124e-09
chrono_run_2.finalized,14.33378529548645,0.011625390862902004,0.01024910956327292,0.0190860392811557,-0.0029103188574464,4.996685545573222e-09
chrono_run_2.finalized,14.347392559051514,0.011632104382379372,0.010238243593695432,0.0191970379882239,-0.0029048200643633,4.097282147370043e-09
chrono_run_2.finalized,14.360044240951538,0.011637609432649,0.010229335505345803,0.0192880569280198,-0.0029003110540351,3.3597713608434357e-09
chrono_run_2.finalized,14.373448610305786,0.011642123548890694,0.010222032222263259,0.0193626924586524,-0.002896613665566,2.755012515891617e-09
chrono_run_2.finalized,14.386829376220705,0.011645825106865139,0.010216044437479138,0.0194238935937712,-0.0028935818070213,2.2591102630311264e-09
chrono_run_2.finalized,14.400736570358276,0.011612999744109651,0.01021292950848686,0.0194751882804675,-0.0029869694421428,1.852470415685524e-09
chrono_run_2.finalized,14.414498567581177,0.011586062847256245,0.010210375697720207,0.0195172499235584,-0.0030635473029424,1.5190257408621295e-09
chrono_run_2.finalized,14.428389549255373,0.011551268859835248,0.010193375758301829,0.019689347852841,-0.0030464463146001,1.2456011075069464e-09
chrono_run_2.finalized,14.44086980819702,0.011654094631864611,0.010176748334972108,0.0198320847029237,-0.0029045918532615,1.021392908155696e-09
chrono_run_2.finalized,14.453298568725584,0.011814323689528906,0.010162071752416076,0.0199566592807485,-0.0027722921862147,8.375421846876709e-10
chrono_run_2.finalized,14.467158555984497,0.011864270357096076,0.010146828722025358,0.0200526784470716,-0.0024720589409801,6.867845914438901e-10
chrono_run_2.finalized,14.481585025787352,0.01190360749719941,0.01013433096425532,0.0201314141634566,-0.0022258676798877,5.6316336498399e-10
chrono_run_2.finalized,14.493849277496336,0.011744640442453456,0.010130300511916612,0.02019724897568,-0.0023435700987651,4.617939592868718e-10
chrono_run_2.finalized,14.506631135940552,0.011965865500226368,0.010125342879166176,0.0202847338264564,-0.0025199808745331,3.786710466152349e-10
chrono_run_2.finalized,14.520399332046509,0.01214095628651094,0.010122172085317396,0.0203570688690696,-0.0027125746111817,3.1051025822449266e-10
chrono_run_2.finalized,14.535285949707033,0.012284259820815623,0.010119572897277083,0.0204163836040124,-0.0028705014752336,2.54618411744084e-10
chrono_run_2.finalized,14.54714035987854,0.012401673965297573,0.010117442143324114,0.0204650216866656,-0.0030000015037561,2.0878709763014894e-10
chrono_run_2.finalized,14.560502290725708,0.012385407504113606,0.010107357288268974,0.0205124649480038,-0.0027226964487225,1.7120542005672217e-10
chrono_run_2.finalized,14.57368230819702,0.012129835574325617,0.010098749271323745,0.0205581571750853,-0.0025112851866154,1.4038844444651217e-10
chrono_run_2.finalized,14.587928771972656,0.012224956336792752,0.010093774284151723,0.0205937474125642,-0.0024338017527253,1.1511852444614002e-10
chrono_run_2.finalized,14.601105213165285,0.012207201479481644,0.010086989221623762,0.020647664254692,-0.0023542863700959,9.43971900458348e-11
chrono_run_2.finalized,14.613872289657593,0.012178357156868339,0.010085565413521607,0.0206982471535264,-0.0025287682170243,7.740569583758455e-11
chrono_run_2.finalized,14.627307891845705,0.012060604716421345,0.010080400576476347,0.0207384509314822,-0.0024641168045003,6.347267058681934e-11
chrono_run_2.finalized,14.64046835899353,0.011963972982018352,0.010076165674696798,0.020771418029406,-0.0024111026462305,5.2047589881191857e-11
chrono_run_2.finalized,14.654950618743896,0.011975049283709474,0.010074179573295495,0.0207961888534636,-0.0024315469038078,4.2679023702577324e-11
chrono_run_2.finalized,14.66759181022644,0.011927680199184588,0.010070795188908424,0.0208248384569724,-0.0024003742945023,3.499679943611341e-11
chrono_run_2.finalized,14.68088126182556,0.011856171675831398,0.010065239175936687,0.0208541535876509,-0.002262960028904,2.8697375537612997e-11
chrono_run_2.finalized,14.693579912185669,0.011979445665287731,0.010064105765736873,0.0208788593003938,-0.0023260489244397,2.3531847940842662e-11
chrono_run_2.finalized,14.707113265991211,0.012080402896033621,0.010063176469962706,0.0208991179848429,-0.0023777818187789,1.9296115311490984e-11
chrono_run_2.finalized,14.721010684967041,0.01200261676676802,0.01005990133262872,0.020935199703321,-0.0023882449003673,1.5822814555422606e-11
chrono_run_2.finalized,14.733890771865845,0.011825567983024506,0.010055745583351303,0.0209635997052746,-0.0023169297511623,1.2974707935446541e-11
chrono_run_2.finalized,14.746896982192993,0.011680224255780023,0.010052338001822331,0.0209868877068766,-0.0022584513288142,1.0639260507066164e-11
chrono_run_2.finalized,14.762129545211792,0.011831450477365234,0.010053544013299854,0.0210072337841874,-0.0024182255914036,8.724193615794254e-12
chrono_run_2.finalized,14.773878574371336,0.011954863281223145,0.010054533017253378,0.0210239175675823,-0.002549240486727,7.153838764951289e-12
chrono_run_2.finalized,14.786788702011108,0.011878923462011089,0.010058772678272793,0.0210447713008047,-0.0028643991859881,5.866147787260058e-12
chrono_run_2.finalized,14.800681352615356,0.011698179500010675,0.010047330910616662,0.0210817911266315,-0.0024676918465962,4.810241185553248e-12
chrono_run_2.finalized,14.814961433410645,0.011546952430795673,0.010037948928086866,0.0211121473838094,-0.0021423918282948,3.944397772153664e-12
chrono_run_2.finalized,14.82711458206177,0.011415769345907031,0.01003025588191048,0.0211370395146954,-0.0018756458132877,3.234406173166004e-12
chrono_run_2.finalized,14.840379953384401,0.011338548350594143,0.010031358714495713,0.0211627735605538,-0.0020563881681531,2.6522130619961236e-12
chrono_run_2.finalized,14.853926181793213,0.011527386788035238,0.010033463650326337,0.0211878604803926,-0.0022844916914313,2.174814710836821e-12
chrono_run_2.finalized,14.86820936203003,0.011477113985652494,0.010024179055673335,0.0212108515832254,-0.0019282518337011,1.7833480628861935e-12
chrono_run_2.finalized,14.881093740463257,0.044732437479707385,0.01148625678903339,0.0207420926257764,-0.0745641328074603,0.0009720002761205484
chrono_run_2.finalized,14.893864631652832,0.11146155208507107,0.01641450015668254,0.0178948370889696,-0.3371063626295345,0.02331503926511514
chrono_run_2.finalized,14.907581567764282,0.15084786311186987,0.022602343547087997,0.0096841842464791,-0.6296013172783985,0.041636331236090715
chrono_run_2.finalized,14.920929908752441,0.14857693516346693,0.02914834167426063,-0.0010491146506955,-0.9207077134232916,0.05665979065229067
chrono_run_2.finalized,14.933852910995485,0.14671544428226796,0.03280263076190071,-0.0098504197463788,-1.159414958262104,0.13712702847220742
chrono_run_2.finalized,14.94732356071472,0.16240984432027972,0.03713047203181692,-0.0215160952567138,-1.4158270677616196,0.2186261656818048
chrono_run_2.finalized,14.960626602172853,0.14625026245321365,0.047803045075446554,-0.0475896760860516,-1.7539326833651263,0.18218945599640907
chrono_run_2.finalized,14.973936319351196,0.14327514619360363,0.05786331062395773,-0.0750083499387521,-2.0538694460503217,0.15231135405438453
chrono_run_2.finalized,14.986950874328613,0.1408220402628016,0.06625440069291838,-0.0974916624979666,-2.299817591452182,0.12781131046192443
chrono_run_2.finalized,15.000920295715332,0.13206323703693917,0.07512472922480795,-0.1284682083349011,-2.519758982882635,0.11052927444144892
chrono_run_2.finalized,15.013377904891968,0.12870602757153823,0.08214182139102037,-0.1666814812341175,-2.7165372868469397,0.1925140029820516
chrono_run_2.finalized,15.026841878890993,0.11609822141639951,0.08910818806754549,-0.2046090119531956,-2.8802763964806646,0.2597414803853458
chrono_run_2.finalized,15.04013991355896,0.11225708505936347,0.09574163524049448,-0.24210140452559,-3.002797867037973,0.314868011856047
chrono_run_2.finalized,15.055901288986206,0.10927629973417669,0.10667138395539955,-0.2921989371629502,-3.0855448689520952,0.2583897697906231
chrono_run_2.finalized,15.066837549209595,0.10665659090820234,0.11596882526019307,-0.3332789139255857,-3.1533974105216758,0.21207761129697555
chrono_run_2.finalized,15.080786943435669,0.10813844939771985,0.12466481267232009,-0.3731235002290531,-3.199241367693753,0.1741016413321845
chrono_run_2.finalized,15.0936222076416,0.112062354428387,0.1330035015666994,-0.4172852220857184,-3.1872027181855134,0.14296134596105586
